名称,代号,主分区tid,tid,简介,备注
校园学习,campus,36,208,老师很有趣，学生也有才，我们一起搞学习,
职业职场,career,36,209,职业分享、升级指南，一起成为最有料的职场人,
设计·创意,design,36,229,天马行空，创意设计，都在这里,
野生技术协会,skill,36,122,技能党集合，是时候展示真正的技术了,
演讲·公开课 (已下线),speech_course,36,39,涨知识的好地方，给爱学习的你,
星海 (已下线),military,36,96,军事类内容的圣地,
机械 (已下线),mechanical,36,98,机械设备展示或制作视频,
科技(主分区)(原数码分区),tech,188,188,,
数码( 原手机平板 ),digital,188,95,科技数码产品大全，一起来做发烧友,
软件应用,application,188,230,超全软件应用指南,
计算机技术,computer_tech,188,231,研究分析、教学演示、经验分享......有关计算机技术的都在这里,
科工机械 ( 原工业·工程·机械 ),industry,188,232,前方高能，机甲重工即将出没,
极客 DIY,diy,188,233,炫酷技能，极客文化，硬核技巧，准备好你的惊讶,
电脑装机 (已下线),pc,188,189,电脑、笔记本、装机配件、外设和软件教程等相关视频,
摄影摄像 (已下线),photography,188,190,摄影摄像器材、拍摄剪辑技巧、拍摄作品分享等相关视频,
影音智能 (已下线),intelligence_av,188,191,影音设备、智能产品等相关视频,
运动(主分区),sports,234,234,,
篮球,basketball,234,235,与篮球相关的视频，包括但不限于篮球赛事、教学、评述、剪辑、剧情等相关内容,
足球,football,234,249,与足球相关的视频，包括但不限于足球赛事、教学、评述、剪辑、剧情等相关内容,
健身,aerobics,234,164,与健身相关的视频，包括但不限于瑜伽、crossfit、健美、力量举、普拉提、街健等相关内容,
竞技体育,athletic,234,236,与竞技体育相关的视频，包括但不限于乒乓、羽毛球、排球、赛车等竞技项目的赛事、评述、剪辑、剧情等相关内容,
运动文化,culture,234,237,与运动文化相关的视频，包络但不限于球鞋、球衣、球星卡等运动衍生品的分享、解读，体育产业的分析、科普等相关内容,
运动综合,comprehensive,234,238,与运动综合相关的视频，包括但不限于钓鱼、骑行、滑板等日常运动分享、教学、Vlog 等相关内容,
汽车(主分区),car,223,223,,
赛车,racing,223,245,f1 等汽车运动相关,
改装玩车,modifiedvehicle,223,246,汽车文化及改装车相关内容，包括改装车、老车修复介绍、汽车聚会分享等内容,
新能源车,newenergyvehicle,223,247,新能源汽车相关内容，包括电动汽车、混合动力汽车等车型种类，包含不限于新车资讯、试驾体验、专业评测、技术解读、知识科普等内容,
房车,touringcar,223,248,房车及营地相关内容，包括不限于产品介绍、驾驶体验、房车生活和房车旅行等内容,
